source_file,parent_company,banner,region,representative_store_id,week_start,week_end,notes
safeway 3-25 - 3-31.pdf,Albertsons,Safeway,bay_area,,2026-03-25,2026-03-31,
safeway 4-1 - 4-7.pdf,Albertsons,Safeway,bay_area,,2026-04-01,2026-04-07,
safeway 5-6 - 5-12.pdf,Albertsons,Safeway,bay_area,,2026-05-06,2026-05-12,
safeway 5-12 - 5-19.pdf,Albertsons,Safeway,bay_area,,2026-05-12,2026-05-19,
safeway 6-3 - 6-9.pdf,Albertsons,Safeway,bay_area,,2026-06-03,2026-06-09,
safeway 6-10 - 6-16.pdf,Albertsons,Safeway,bay_area,,2026-06-10,2026-06-16,
safeway 6-17 - 6-23.pdf,Albertsons,Safeway,bay_area,,2026-06-17,2026-06-23,
safeway 6-24 - 6-30.pdf,Albertsons,Safeway,bay_area,,2026-06-24,2026-06-30,
safeway 7-1 - 7-7.pdf,Albertsons,Safeway,bay_area,,2026-07-01,2026-07-07,
safeway 7-8 - 7-14.pdf,Albertsons,Safeway,bay_area,,2026-07-08,2026-07-14,
safeway 7-15 - 7-21.pdf,Albertsons,Safeway,bay_area,,2026-07-15,2026-07-21,
