ad_item_name,raw_ad_text,page_number,notes
Fresh Boneless Skinless Chicken Breasts Value Pack,Fresh Boneless Skinless Chicken Breasts Value Pack 2.49 lb,1,food-like ad text with no watchlist match
USDA Choice Beef Boneless Top Sirloin Steak Value Pack,USDA Choice Beef Boneless Top Sirloin Steak Value Pack 4.99 lb,1,food-like ad text with no watchlist match
"Waterfront BISTRO Cooked Shrimp 31-40 ct, 2 lb bag","Waterfront BISTRO Cooked Shrimp 31-40 ct, 2 lb bag 6.99 lb Sold in a 2 lb bag for $13.98",1,food-like ad text with no watchlist match
Fresh Sweet Corn,Fresh Sweet Corn 5 for $1,1,food-like ad text with no watchlist match
"Fresh Pineapple, Cantaloupe","Fresh Pineapple, Cantaloupe or Mini Watermelon 2.55 ea",1,food-like ad text with no watchlist match
Mini Watermelon,"Fresh Pineapple, Cantaloupe or Mini Watermelon 2.55 ea",1,food-like ad text with no watchlist match
Signature SELECT Ice Cream 1.5 qt,Signature SELECT Ice Cream 1.5 qt 2.99 ea,1,food-like ad text with no watchlist match
Signature SELECT Chunk Cheese 6 to 8 oz,Signature SELECT Chunk Cheese 6 to 8 oz 1.99 ea,1,food-like ad text with no watchlist match
Lucerne Butter Quarters 16 oz,Lucerne Butter Quarters 16 oz 2.99 ea,1,food-like ad text with no watchlist match
Signature SELECT Sandwich Bread 20 oz,Signature SELECT Sandwich Bread 20 oz 1.69 ea,1,food-like ad text with no watchlist match
Oroweat Bread 24 oz,Oroweat Bread 24 oz 2.49 ea,1,food-like ad text with no watchlist match
"Lay's Potato Chips, Fritos, Ruffles","Lay's Potato Chips, Fritos, Ruffles or Ritz Crackers 5 to 13 oz 2.49 ea",1,food-like ad text with no watchlist match
Lucerne Shredded,Lucerne Shredded or Sliced Cheese 5 to 8 oz 1.99 ea,1,food-like ad text with no watchlist match
Sliced Cheese 5 to 8 oz,Lucerne Shredded or Sliced Cheese 5 to 8 oz 1.99 ea,1,food-like ad text with no watchlist match
Lucerne Milk Gallon,Lucerne Milk Gallon 2.99 ea,1,food-like ad text with no watchlist match
Kellogg's Cereal 10.1-18 oz,Kellogg's Cereal 10.1-18 oz 2 for $5,1,food-like ad text with no watchlist match
Lucerne Chunk,Lucerne Chunk or Shredded Cheese 16 oz 4.99 ea,1,food-like ad text with no watchlist match
Shredded Cheese 16 oz,Lucerne Chunk or Shredded Cheese 16 oz 4.99 ea,1,food-like ad text with no watchlist match
Signature SELECT Ice Cream 48 oz,Signature SELECT Ice Cream 48 oz 2 for $5,1,food-like ad text with no watchlist match
Signature SELECT Chunk Cheese 6-8 oz,Signature SELECT Chunk Cheese 6-8 oz 2 for $5,1,food-like ad text with no watchlist match
Skippy Peanut Butter 15-16.3 oz,Skippy Peanut Butter 15-16.3 oz 0.99 ea,1,food-like ad text with no watchlist match
O Organics Milk 64 oz,O Organics Milk 64 oz 2 for $5,1,food-like ad text with no watchlist match
Fresh Atlantic Salmon Fillets Farm Raised,"Friday, June 19th Fresh Atlantic Salmon Fillets Farm Raised $5 lb",4,food-like ad text with no watchlist match
Kellogg's Cereal select varieties,Kellogg's Cereal select varieties 8.8 to 13.7 oz 2 for $5,4,food-like ad text with no watchlist match
Signature SELECT Ice Cream,Signature SELECT Ice Cream 48 oz 2 for $5,4,food-like ad text with no watchlist match
Signature SELECT Snack Crackers,Signature SELECT Snack Crackers 7.5 to 13.7 oz 2 for $5,4,food-like ad text with no watchlist match
Signature SELECT Chicken Wings,Signature SELECT Chicken Wings 22 oz 2 for $5,4,food-like ad text with no watchlist match
Signature SELECT Cheese,Signature SELECT Cheese 6 to 8 oz 2 for $5,4,food-like ad text with no watchlist match
Local Strawberries,Local Strawberries 2 lb $5.56,4,food-like ad text with no watchlist match
Local Blueberries,Local Blueberries 6 oz $2.56,4,food-like ad text with no watchlist match
Local Strawberries,Local Strawberries 2 for $7,4,food-like ad text with no watchlist match
Fresh Beef Ribeye Steak Bone-In Value Pack,Fresh Beef Ribeye Steak Bone-In Value Pack $12.99 lb,4,food-like ad text with no watchlist match
Fresh Beef Loin Top Loin Steak Boneless Value Pack,Fresh Beef Loin Top Loin Steak Boneless Value Pack $9.99 lb,4,food-like ad text with no watchlist match
"Sea Best Raw Shrimp 16-20 ct, 32 oz","Sea Best Raw Shrimp 16-20 ct, 32 oz $14.99",4,food-like ad text with no watchlist match
Member Price Selected varieties Menten Prive a Bubbies j “| Mochi 7.5 oz. i = a Horizon Selected varietics | gesses og |,"Member Price Selected varieties Menten Prive
a
Bubbies j “|
Mochi 7.5 oz. i = a Horizon
Selected varietics | gesses og | Organic Milk
Seve $6990n2 f= = =) Plus DHA
Buyi mya || 64 0z
/ \ = } | Selected varieties",3,food-like ad text with no watchlist match
"or Ss English Muffins : meee "" chosen Foods i: ¥ Setected 1 Avocado Oil Selected varieties ; varieties 1 16.9 oz persia ","or Ss
English Muffins : meee "" chosen Foods
i: ¥ Setected 1 Avocado Oil
Selected varieties ; varieties 1 16.9 oz
persia 1
Price; $3,99
2S7 1 @49
Member Price 1 Expires 623226, !",3,food-like ad text with no watchlist match
4 Bread 24-27 oz. ; or Hamburger Buns Bet B Selected varieties 5 Member Price: $6.99,"4 Bread 24-27 oz.
; or Hamburger Buns

Bet
B Selected varieties
5 Member Price: $6.99

SI",3,food-like ad text with no watchlist match
Skippy Peanut Butter # 15-16.3 oz y Selected varieties § Member Price: $2.99 |,"Skippy
Peanut Butter

# 15-16.3 oz
y Selected varieties
§ Member Price: $2.99 |

a",3,food-like ad text with no watchlist match
